no,time,platform,variation,input_product,output_script,log_id
1,2026-03-26 12:46:24,shopee,premium,celana panjang laki laki,"Eh, serius nih? Celana selokalitas ini harganya cuma segini? Gue kira buat sultan doang, ternyata buat kita juga bisa. Kualitasnya bukan kaleng-kaleng, bro. Jahitannya rapi, bahannya adem, dipake jalan jauh pun tetep nyaman.

Ini bukan celana abal-abal ya, ada labelnya jelas, asli. Beda banget sama yang biasa lu liat di pasaran. Yang ini tuh bikin pede banget dipake nongkrong, ngantor, atau bahkan buat nge-date.

Udah deh, jangan sampe kehabisan. Langsung aja klik keranjang kuning di bawah, sebelum stoknya pada ludes. Ini kesempatan emas buat upgrade gayalo. Buruan!",
2,2026-03-26 13:45:48,shopee,premium,seragam sekolah anak SMK dan SMA,"Eh, ini beneran deh, kualitas seragam SMK SMA yang kayak gini, biasanya cuma buat anak sekolah favorit doang, lho. Bahannya premium banget, adem, nggak gampang kusut, jahitan rapi poll. Tapi kok harganya bisa semurah ini ya di Shopee?

Nggak percaya? Cek aja sendiri labelnya, ini ori, bukan KW-KW-an. Yang biasa bikin PR ngerusak seragam, tenang aja, ini awet banget dipake bertahun-tahun. Udah gitu, sekarang lagi ada promo spesial, stok terbatas. Jangan sampe kehabisan, buruan klik keranjang kuning sekarang juga!",
3,2026-03-26 13:53:27,shopee,premium,seragam sekolah anak SMK dan SMA,"Eh, ini beneran deh, kualitas seragam SMK SMA yang kayak gini, biasanya cuma buat anak sekolah favorit doang, lho. Bahannya premium banget, adem, nggak gampang kusut, jahitan rapi poll. Tapi kok harganya bisa semurah ini ya di Shopee?

Nggak percaya? Cek aja sendiri labelnya, ini ori, bukan KW-KW-an. Yang biasa bikin PR ngerusak seragam, tenang aja, ini awet banget dipake bertahun-tahun. Udah gitu, sekarang lagi ada promo spesial, stok terbatas. Jangan sampe kehabisan, buruan klik keranjang kuning sekarang juga!",
4,2026-03-26 19:11:03,shopee,premium,seragam anak smk dan sma,"Lagi nyari seragam SMK/SMA yang awet dan kelihatan mahal, tapi harganya gak bikin nangis? Ini dia rahasianya!

Banyak banget yang mikir seragam bagus itu pasti selangit harganya, padahal ini ada yang kualitasnya premium, bahan adem, jahitan rapi banget, persis kayak yang dijual di butik eksklusif. Tapi tenang, di Shopee harganya gak sampai seratus ribu!

Ini beneran ori, bukan kaleng-kaleng. Kancingnya kokoh, warnanya gak gampang pudar. Dijamin bikin anak makin pede di sekolah.

Buruan deh, stok terbatas. Langsung aja klik keranjang kuning di bawah ini sebelum kehabisan!",
5,2026-03-26 19:33:52,shopee,premium,pakaian seragam sekolah anak SMA dan SMK putih abu abu,"Eh, tau gak sih? Dulu dapet seragam SMA/SMK putih abu-abu kayak gini tuh susah banget, harus titip sana-sini, belum lagi harganya bikin dompet menjerit. Tapi sekarang, beda cerita!

Ini dia seragam SMA/SMK putih abu-abu, kualitasnya premium banget, jahitannya rapi, bahannya adem, yang kayak gini biasanya cuma buat anak-anak sekolah favorit, lho. Tapi tenang, di Shopee harganya gak masuk akal, beneran deh.

Biar makin yakin, aku kasih liat detailnya. Lihat nih, ada label aslinya. Ini bukan sembarang seragam, ini yang bikin kamu tampil beda dan pede di sekolah.

Udah gak perlu lagi bingung cari seragam. Langsung aja klik keranjang kuning di bawah ini sebelum kehabisan stoknya!",
6,2026-03-26 19:41:39,shopee,premium,seragam anak sma,"Eh, kalian sadar gak sih, baju seragam SMA tuh mahal banget di pasaran? Tapi yang ini beda, guys! Kualitasnya premium parah, bahan adem, jahitan rapi, kayak yang dijual di toko eksklusif gitu.

Ini asli, bukan kaleng-kaleng. Ada labelnya langsung, buktiin sendiri. Dulu sih, dapet seragam beginian tuh susah, cuma buat anak-anak tertentu.

Sekarang? Di Shopee ada! Harganya? Gak masuk akal murahnya. Buruan deh, sebelum kehabisan. Langsung aja klik keranjang kuningnya sekarang juga!",
7,2026-03-26 19:47:36,shopee,premium,seragam sekolah anak sma,"Eh, serius nih? Seragam SMA kualitas premium gini, cuma mulai dari seratus dua puluh ribu? Gak nyangka banget, sumpah! Ini tuh kayak baju eksklusif yang biasanya cuma bisa didapetin sama anak-anak sekolah *elite*, tapi sekarang jadi *worth it* banget buat kita.

Bahannya adem, jahitannya rapi pol, udah gitu awet banget dipake bertahun-tahun. Beda banget sama yang lain, ini beneran keliatan mahal dan berkelas. Buruan deh, sebelum kehabisan stok dan harganya naik lagi. Langsung aja klik keranjang kuning di bawah ini buat dapetin seragam impian kamu!",
8,2026-03-26 20:15:57,tiktok,viral,Tas Keren,"Gila sih, ini tas beneran bikin nagih! Cuma dalam seminggu, udah sold out seratus lima puluh biji. Gak percaya? Cek aja sendiri komennya, semua pada bilang sama!

Padahal harganya cuma segini, tapi kualitasnya gak kaleng-kaleng. Muat banyak, stylish, cocok buat ngampus, nongkrong, apa aja lah.

Yang belum kebagian, buruan sebelum kehabisan lagi. Stok makin tipis, jangan sampai nyesel kayak temen-temenmu yang cuma bisa gigit jari. Langsung klik link di bio sebelum kehabisan lagi!",8a581cda-3fa5-42b7-8b6f-5900e1b7770b
9,2026-03-26 20:20:37,tiktok,viral,Tas Keren,"Gila sih, ini tas beneran bikin nagih! Cuma dalam seminggu, udah sold out seratus lima puluh biji. Gak percaya? Cek aja sendiri komennya, semua pada bilang sama!

Padahal harganya cuma segini, tapi kualitasnya gak kaleng-kaleng. Muat banyak, stylish, cocok buat ngampus, nongkrong, apa aja lah.

Yang belum kebagian, buruan sebelum kehabisan lagi. Stok makin tipis, jangan sampai nyesel kayak temen-temenmu yang cuma bisa gigit jari. Langsung klik link di bio sebelum kehabisan lagi!",b58577a4-43a2-418e-97c9-843e6bc385d3
10,2026-03-26 20:34:17,tiktok,viral,Sepatu,"Gila sih ini, baru aja kemarin gue beli sepatu, eh udah sold out lagi aja!

Seratus pasang dalam sehari, bayangin. Ini tuh bukan sepatu biasa, tapi sepatu sejuta umat yang bikin kaki lo langsung nyaman seketika.

Udah banyak banget yang review, katanya bikin nagih. Kalo gak cepet, siap-siap gigit jari.

Buruan deh sikat sebelum beneran abis lagi. Klik keranjang kuning sekarang juga!",45c3a6f6-cba8-45c6-bcbd-65f27aa9446c
